,BH,BO,BT,BU,BV,CA,CH,DP,EL,ER,FP,PC
BH,-0.9118,-0.2145,-0.2718,-0.2275,-0.1294,-0.3058,-0.3478,-0.9002,0.1764,-0.5455,-0.2307,-0.5286
BO,0,-0.7339,-0.6235,-0.6317,-0.515,0,-0.5069,0,1.7566,0,-0.2087,0
BT,0,-0.8193,-0.9067,-0.7538,-0.7552,0,-0.0864,0,2.2719,-0.7375,-0.7033,0
BU,0,-0.9208,-0.8155,-0.8804,-0.5498,0,0.0656,0,3.3782,0,-0.7822,0
BV,0.1366,-0.5556,-0.6416,-0.5837,-0.6597,-0.6566,-0.0468,-0.1062,1.3026,0,-0.6379,0
CA,0.4526,-0.2776,-0.2736,-0.2614,-0.1679,-0.829,0.3118,0,-0.4475,0,-1.121,-0.6709
CH,0,-0.4645,-0.6319,-0.1511,0.039,-0.2413,-1.4543,-2.157,0.0239,-0.4394,0.5069,-0.771
DP,0,-0.2028,-0.1999,-0.1763,-0.026,0.042,-0.151,-1.2535,0.1756,0,0,-0.4333
EL,0.6924,-0.1141,-0.1688,-0.1241,-0.0493,-1.098,0,-0.4084,-2.4418,0,-0.1531,-1.0774
ER,1.3433,-0.0203,0,-0.0613,-0.0296,0,1.0831,0,-0.1385,-1.2705,-0.1676,0
FP,0.9613,-0.0993,-0.0685,0.2313,0.7585,0,-0.4481,1.0147,-0.768,0,-1.0382,-0.402
PC,0,-0.2646,-0.3033,-0.3237,-0.2017,-0.5596,0.265,-0.9771,-0.9041,-0.8171,-0.4053,-0.6217
